name	ena_id	assay_name	lab	lab_code	pop	kgp_phase1	kgp_phase3
HG00376	ERR188299	HG00376.2.M_111216_1	CNAG_CRG	2	FIN	1	1
HG00377	ERR188025	HG00377.2.M_120131_2	CNAG_CRG	2	FIN	1	0
HG00378	ERR188472	HG00378.5.M_120131_5	HMGU	5	FIN	1	1
HG00379	ERR188330	HG00379.5.M_120131_3	HMGU	5	FIN	0	1
HG00380	ERR188314	HG00380.3.M_120202_8	MPIMG	3	FIN	0	1
HG00381	ERR188280	HG00381.3.M_120202_7	MPIMG	3	FIN	1	1
HG00382	ERR188115	HG00382.4.M_120208_4	ICMB	4	FIN	1	1
HG00383	ERR188102	HG00383.1.M_111124_1	UNIGE	1	FIN	1	1
HG00384	ERR188043	HG00384.2.M_111216_4	CNAG_CRG	2	FIN	1	1
HG01334	ERR188469	HG01334.7.M_120219_8	LUMC	7	GBR	1	1
HG01789	ERR188391	HG01789.6.M_120119_1	UU	6	GBR	0	1
HG01790	ERR188407	HG01790.3.M_120202_3	MPIMG	3	GBR	0	1
HG01791	ERR188478	HG01791.2.M_111216_5	CNAG_CRG	2	GBR	0	1
HG02215	ERR188470	HG02215.1.M_111124_4	UNIGE	1	GBR	0	1
NA06984	ERR188325	NA06984.1.M_111124_4	UNIGE	1	CEU	1	1
NA06985	ERR188327	NA06985.1.M_111124_7	UNIGE	1	CEU	0	1
