name	ena_id	assay_name	lab	lab_code	pop	kgp_phase1	kgp_phase3
NA20518	ERR188050	NA20518.4.M_120208_3	ICMB	4	TSI	1	1
NA20519	ERR188145	NA20519.1.M_111124_5	UNIGE	1	TSI	1	1
NA20520	ERR188239	NA20520.3.M_120202_2	MPIMG	3	TSI	1	1
NA20521	ERR188386	NA20521.7.M_120219_7	LUMC	7	TSI	1	1
NA20524	ERR188204	NA20524.2.M_111215_8	CNAG_CRG	2	TSI	1	1
NA20525	ERR188347	NA20525.1.M_111124_1	UNIGE	1	TSI	1	1
NA20527	ERR188317	NA20527.2.M_111215_7	CNAG_CRG	2	TSI	1	1
NA20528	ERR188224	NA20528.2.M_120131_1	CNAG_CRG	2	TSI	1	1
NA20529	ERR188453	NA20529.2.M_111215_6	CNAG_CRG	2	TSI	1	1
NA20530	ERR188258	NA20530.2.M_111215_6	CNAG_CRG	2	TSI	1	1
NA20531	ERR188399	NA20531.4.M_120208_1	ICMB	4	TSI	1	1
NA20532	ERR188226	NA20532.3.M_120202_7	MPIMG	3	TSI	1	1
NA20534	ERR188114	NA20534.2.M_111215_8	CNAG_CRG	2	TSI	1	1
NA20535	ERR188398	NA20535.3.M_120202_2	MPIMG	3	TSI	1	1
NA20536	ERR188382	NA20536.1.M_111124_1	UNIGE	1	TSI	1	1
NA20537	ERR188359	NA20537.3.M_120202_8	MPIMG	3	TSI	1	0
NA20538	ERR188208	NA20538.3.M_120202_6	MPIMG	3	TSI	1	1
NA20539	ERR188138	NA20539.4.M_120208_5	ICMB	4	TSI	1	1
NA20540	ERR188436	NA20540.1.M_111124_2	UNIGE	1	TSI	1	1
NA20541	ERR188052	NA20541.1.M_111124_4	UNIGE	1	TSI	1	1
NA20542	ERR188203	NA20542.7.M_120219_2	LUMC	7	TSI	1	1
NA20543	ERR188334	NA20543.2.M_111215_5	CNAG_CRG	2	TSI	1	1
NA20544	ERR188252	NA20544.4.M_120208_5	ICMB	4	TSI	1	1
NA20581	ERR188402	NA20581.1.M_111124_4	UNIGE	1	TSI	1	1
NA20582	ERR188259	NA20582.4.M_120208_2	ICMB	4	TSI	1	1
NA20585	ERR188199	NA20585.3.M_120202_6	MPIMG	3	TSI	1	1
NA20586	ERR188353	NA20586.2.M_111215_7	CNAG_CRG	2	TSI	1	1
NA20588	ERR188201	NA20588.5.M_120131_5	HMGU	5	TSI	1	1
NA20589	ERR188343	NA20589.1.M_111124_3	UNIGE	1	TSI	1	1
NA20752	ERR188054	NA20752.5.M_120131_7	HMGU	5	TSI	1	1
NA20754	ERR188108	NA20754.4.M_120208_1	ICMB	4	TSI	1	1
NA20756	ERR188251	NA20756.2.M_111216_6	CNAG_CRG	2	TSI	1	1
NA20757	ERR188295	NA20757.1.M_111124_1	UNIGE	1	TSI	1	1
NA20758	ERR188276	NA20758.2.M_111215_8	CNAG_CRG	2	TSI	1	1
NA20759	ERR188068	NA20759.4.M_120208_3	ICMB	4	TSI	1	1
NA20760	ERR188110	NA20760.3.M_120202_5	MPIMG	3	TSI	1	1
NA20761	ERR188479	NA20761.1.M_111124_7	UNIGE	1	TSI	1	1
NA20765	ERR188153	NA20765.2.M_111215_5	CNAG_CRG	2	TSI	1	1
NA20766	ERR188126	NA20766.1.M_111124_4	UNIGE	1	TSI	1	1
NA20768	ERR188105	NA20768.5.M_120131_1	HMGU	5	TSI	1	1
NA20769	ERR188381	NA20769.6.M_120119_5	UU	6	TSI	1	1
NA20770	ERR188191	NA20770.3.M_120202_1	MPIMG	3	TSI	1	1
NA20771	ERR188345	NA20771.2.M_111215_7	CNAG_CRG	2	TSI	1	1
NA20772	ERR188393	NA20772.3.M_120223_6	MPIMG	3	TSI	1	1
NA20773	ERR188305	NA20773.6.M_120119_4	UU	6	TSI	1	1
NA20774	ERR188179	NA20774.7.M_120219_1	LUMC	7	TSI	1	1
NA20778	ERR188079	NA20778.4.M_120208_1	ICMB	4	TSI	1	1
NA20783	ERR188171	NA20783.4.M_120208_6	ICMB	4	TSI	1	1
NA20785	ERR188173	NA20785.4.M_120208_1	ICMB	4	TSI	1	1
NA20786	ERR188192	NA20786.2.M_111215_8	CNAG_CRG	2	TSI	1	1
NA20787	ERR188360	NA20787.6.M_120119_3	UU	6	TSI	1	1
NA20790	ERR188155	NA20790.2.M_111215_6	CNAG_CRG	2	TSI	1	1
NA20792	ERR188195	NA20792.6.M_120119_6	UU	6	TSI	1	1
NA20795	ERR188384	NA20795.5.M_120131_1	HMGU	5	TSI	1	1
NA20796	ERR188316	NA20796.1.M_120209_2	UNIGE	1	TSI	1	1
NA20797	ERR188132	NA20797.2.M_111215_6	CNAG_CRG	2	TSI	1	1
NA20798	ERR188335	NA20798.6.M_120119_6	UU	6	TSI	1	1
NA20799	ERR188405	NA20799.1.M_111124_3	UNIGE	1	TSI	1	1
NA20800	ERR188419	NA20800.1.M_111124_5	UNIGE	1	TSI	1	1
NA20801	ERR188281	NA20801.7.M_120219_5	LUMC	7	TSI	1	1
NA20802	ERR188249	NA20802.1.M_111124_7	UNIGE	1	TSI	1	1
NA20803	ERR188437	NA20803.7.M_120219_1	LUMC	7	TSI	1	1
NA20804	ERR188147	NA20804.4.M_120208_1	ICMB	4	TSI	1	1
NA20805	ERR188286	NA20805.4.M_120208_7	ICMB	4	TSI	1	1
NA20806	ERR188094	NA20806.3.M_120202_5	MPIMG	3	TSI	1	1
NA20807	ERR188372	NA20807.5.M_120131_1	HMGU	5	TSI	1	1
NA20808	ERR188253	NA20808.4.M_120208_6	ICMB	4	TSI	1	1
NA20809	ERR188282	NA20809.6.M_120119_2	UU	6	TSI	1	1
NA20810	ERR188408	NA20810.2.M_111215_7	CNAG_CRG	2	TSI	1	1
NA20811	ERR188290	NA20811.1.M_111124_5	UNIGE	1	TSI	1	1
NA20812	ERR188137	NA20812.2.M_111216_6	CNAG_CRG	2	TSI	1	1
NA20813	ERR188394	NA20813.5.M_120131_1	HMGU	5	TSI	1	1
NA20814	ERR188265	NA20814.2.M_111215_6	CNAG_CRG	2	TSI	1	1
NA20815	ERR188475	NA20815.5.M_120131_5	HMGU	5	TSI	1	1
NA20816	ERR188210	NA20816.3.M_120202_7	MPIMG	3	TSI	1	0
NA20819	ERR188424	NA20819.3.M_120202_2	MPIMG	3	TSI	1	1
NA20826	ERR188125	NA20826.1.M_111124_1	UNIGE	1	TSI	1	1
NA20828	ERR188406	NA20828.2.M_111216_8	CNAG_CRG	2	TSI	1	1
